author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Dedy Priatmojo,"Dugaan Kuat Komnas HAM Brigadir J Lecehkan Putri, Minta Bareskrim Usut","Komnas HAM menduga kuat motif awal pembunuhan Brigadir J dipicu adanya pelecehan seksual yang dilakukan Brigadir J ke istri Ferdy Sambo, Putri Candrawathi",https://www.viva.co.id/berita/nasional/1516232-dugaan-kuat-komnas-ham-brigadir-j-lecehkan-putri-minta-bareskrim-usut,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/05/62ece969973f5-komisioner-komnas-ham-beka-ulung-hapsara-kanan_665_374.jpg,2022-09-01T17:02:02Z,"VIVANasional Komisioner Komisi Nasional Hak Asasi Manusia (Komnas HAM) Beka Ulung Hapsara, menyatakan pihaknya menduga kuat adanya peristiwa kekerasan seksual yang menjadi awal terjadinya pembunuhan … [+1192 chars]",NA,Viva.co.id
Syahrul Ansyari,Investigasi Komnas HAM: Brigadir J Lecehkan Putri di Magelang,"Komisioner Komnas HAM, Choirul Anam, mengatakan mulanya memang terjadi satu peristiwa diduga pelecehan seksual yang dilakukan Brigadir J terhadap istri Ferdy Sambo.",https://www.viva.co.id/berita/nasional/1516234-investigasi-komnas-ham-brigadir-j-lecehkan-putri-di-magelang,https://thumb.viva.co.id/media/frontend/thumbs3/2022/07/25/62de97693c019-komisioner-komnas-ham-m-choirul-anam_665_374.jpg,2022-09-01T15:33:15Z,VIVA Nasional - Komisi Nasional Hak Asasi Manusia mengungkap secara gamblang detik-detik rencana pembunuhan Brigadir Nofryansyah Yosua Hutabarat atau Brigadir J. Rencana tersebut juga tercantum dalam… [+792 chars],NA,Viva.co.id
Siti Ruqoyah,Kabar Terbaru soal Banding Ferdy Sambo Setelah Dipecat Polri,"Kepala Divisi Propam Polri, Irjen Syahardiantono mengatakan Propam belum menerima memori banding terkait hasil keputusan sidang kode etik Irjen Ferdy Sambo.",https://www.viva.co.id/berita/nasional/1516229-kabar-terbaru-soal-banding-ferdy-sambo-setelah-dipecat-polri,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/28/630b762c7e27e-irjen-ferdy-sambo_665_374.jpg,2022-09-01T15:26:07Z,"VIVA Nasional  Kepala Divisi Propam Polri, Irjen Syahardiantono mengatakan Divisi Propam belum menerima memori banding terkait hasil keputusan sidang kode etik profesi Polri (KKEP) dari Irjen Ferdy S… [+903 chars]",NA,Viva.co.id
Siti Ruqoyah,Gayus Minta Ini ke Hakim yang Adili Kasus ferdy Sambo,Gayus Lumbuun mengatakan hakim yang menangani kasus pembunuhan Brigadir Jdengan terdakwa Ferdy Sambo Cs harus bisa memisahkan antatra harapan warga dan keadilan.,https://www.viva.co.id/berita/nasional/1516227-gayus-minta-ini-ke-hakim-yang-adili-kasus-ferdy-sambo,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/30/630de99ea2b73-putri-chandrawathi-dan-ferdy-sambo-di-rekonstruksi-pembunuhan-brigadir-j_665_374.jpg,2022-09-01T15:14:16Z,"VIVA Nasional  Mantan Hakim Agung Mahkamah Agung, Profesor Gayus Lumbuun mengatakan hakim yang menangani kasus pembunuhan Brigadir J atau Nofriansyah Yosua Hutabarat dengan terdakwa Ferdy Sambo Cs ha… [+1015 chars]",NA,Viva.co.id
Mohammad Arief Hidayat,Ketua Komnas HAM soal Pelecehan Seks Istri Ferdy Sambo: Dia Bergeming,"Komnas HAM belum menutup kemungkinan bahwa Ferdy Sambo, Putri Candrawathi, memang mengalami pelecehan seksual, tetapi lokasinya tidak lagi di rumah dinas.",https://www.viva.co.id/berita/nasional/1516202-ketua-komnas-ham-soal-pelecehan-seks-istri-ferdy-sambo-dia-bergeming,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/29/630cd7ff4622e-ketua-komnas-ham-ahmad-taufan-damanik_665_374.jpg,2022-09-01T13:53:34Z,"VIVA Nasional  Komisi Nasional Hak Asasi Manusia (Komnas HAM) belum menutup kemungkinan bahwa istri Inspektur Jenderal Ferdy Sambo, Putri Candrawathi, memang mengalami pelecehan seksual. Padahal, pol… [+1640 chars]",NA,Viva.co.id
Syahrul Ansyari,Ferdy Sambo Jadi Tersangka Kasus Halangi Penyidikan Kasus Brigadir J,"Total tersangka dalam kasus menghalangi penyidikan ini ada tujuh orang. Selain Ferdy Sambo, masih ada enam orang lainnya.",https://www.viva.co.id/berita/nasional/1516201-ferdy-sambo-jadi-tersangka-kasus-halangi-penyidikan-kasus-brigadir-j,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/30/630de734f3b11-ferdy-sambo-rekonstruksi-pembunuhan-brigadir-j_665_374.jpg,2022-09-01T13:48:52Z,"VIVA Nasional - Mantan Kepala Divisi Propam Polri, Irjen Ferdy Sambo, kembali ditetapkan sebagai tersangka kasus obstruction of justice atau menghalangi proses penyidikan pembunuhan berencana terhada… [+1021 chars]",NA,Viva.co.id
Syahrul Ansyari,Putri Candrawathi Dicekal ke Luar Negeri,Ia memastikan bila Putri Candrawathi itu tidak akan dapat bepergian ke luar negeri meski dengan berbagai cara.,https://www.viva.co.id/berita/nasional/1516188-putri-candrawathi-dicekal-ke-luar-negeri,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/19/62ff2befa99b3-istri-irjen-ferdy-sambo-putri-candrawathi_665_374.jpg,2022-09-01T13:07:01Z,"VIVA Nasional - Istri dari mantan Kadiv Propam Polri Ferdy Sambo Putri, Candrawathi, telah dicekal ke luar nergeri. Penyekalan itu ditetapkan sejak Selasa, 23 Agustus 2022.
Terlibat Kasus Pembunuhan… [+473 chars]",NA,Viva.co.id
"Muhammad Zulfikar, Suharto",Brigadier J murder extra-judicial killing: rights body,"The murder of Brigadier J at the official residence of former chief of the National Police's professional and security division, Ferdy Sambo, was an extra-judicial killing, the National Commission on Human Rights (Komnas HAM) ...",https://en.antaranews.com/news/247521/brigadier-j-murder-extra-judicial-killing-rights-body,https://cdn.antaranews.com/cache/800x533/2022/09/01/20220901_134619.jpg,2022-09-01T13:03:52Z,"As we have mentioned earlier, the cause of his death was two gunshot wounds. One was on his chest and the other one on his head.
Jakarta (ANTARA) - The murder of Brigadier J at the official residenc… [+1922 chars]",NA,Antaranews.com
Syahrul Ansyari,Ferdy Sambo Cs Lakukan Ini untuk Dukung Skenario Pembunuhan Brigadir J,"Dalam narasi awal yang beredar, dijelaskan bahwa ada peristiwa diduga pelecehan seksual dilakukan Brigadir J terhadap istri Ferdy Sambo, Putri Candrawathi.",https://www.viva.co.id/berita/nasional/1516178-ferdy-sambo-cs-lakukan-ini-untuk-dukung-skenario-pembunuhan-brigadir-j,https://thumb.viva.co.id/media/frontend/thumbs3/2022/08/31/630e438d423bb-tersangka-ferdy-sambo-bersama-istrinya-tersangka-putri-candrawathi_665_374.jpg,2022-09-01T12:38:30Z,"VIVA Nasional - Komisi Nasional Hak Asasi Manusia mengungkap fakta baru dari hasil temuan investigasi kasus pembunuhan Brigadir Nofryansyah Yosua Hutabarat atau Brigadir J. Salah satunya, terkait den… [+725 chars]",NA,Viva.co.id
Lis Yuliawati,6 Anggota Polri Jadi Tersangka Halangi Penyidikan Kasus Brigadir J,Irjen Ferdy Sambo belum ditetapkan sebagai tersangka kasus obstruction of justice karena masih diperiksa terkait kasus pembunuhan Brigadir J.,https://www.viva.co.id/berita/nasional/1516166-6-anggota-polri-jadi-tersangka-halangi-penyidikan-kasus-brigadir-j,https://thumb.viva.co.id/media/frontend/thumbs3/2022/06/30/62bd6b10b2663-kepala-divisi-humas-polri-irjen-pol-dedi-prasetyo_665_374.jpeg,2022-09-01T12:01:15Z,"VIVA Nasional  Tim Direktorat Tindak Pidana Siber Bareskrim Polri telah menetapkan enam orang tersangka obstruction of justice atau menghalangi proses penyidikan, dalam kasus pembunuhan Brigadir Nofr… [+1157 chars]",NA,Viva.co.id
